1,Celestial Allure,bracelet,pearl,151.00,391.00
2,Midnight Whisper,bracelet,pearl,104.00,462.00
3,Moonlit Grace,earrings,gold,122.00,389.00
4,Golden Eclipse,earrings,gold,195.00,496.00
5,Radiant Horizon,earrings,gold,159.00,474.00
6,Starlit Bliss,necklace,emerald,140.00,755.00
7,Eternal Spark,necklace,emerald,123.00,679.00
8,Aurora's Embrace,necklace,emerald,150.00,680.00
9,Whispering Dawn,necklace,emerald,141.00,529.00
10,Enchanted Gleam,necklace,emerald,175.00,698.00
11,Twilight Mirage,necklace,emerald,150.00,542.00
12,Crystal Cascade,ring,pearl,103.00,779.00
13,Velvet Aura,necklace,diamond,140.00,310.00
14,Solstice Reverie,necklace,diamond,155.00,647.00
15,Celestial Dream,necklace,diamond,130.00,752.00
16,Infinite Glimmer,necklace,diamond,169.00,395.00
17,Mystical Flame,earrings,diamond,155.00,618.00
18,Sunset Glow,earrings,diamond,193.00,362.00
19,Emerald Horizon,earrings,diamond,147.00,882.00
20,Sapphire Mist,ring,gold,106.00,354.00
21,Ocean Breeze,ring,gold,113.00,666.00
22,Stardust Shimmer,pendant,sapphire,156.00,716.00
23,Amber Dusk,pendant,sapphire,163.00,337.00
24,Timeless Charm,pendant,sapphire,129.00,595.00
25,Moonstone Echo,pendant,sapphire,191.00,486.00
26,Mystic Radiance,earrings,sapphire,163.00,646.00
27,Solar Symphony,pendant,emerald,193.00,575.00
28,Ethereal Glow,pendant,emerald,199.00,336.00
29,Dusk Reverie,pendant,emerald,154.00,792.00
30,Velvet Eclipse,pendant,emerald,170.00,641.00
31,Golden Drift,necklace,pearl,152.00,855.00
32,Eternal Tide,necklace,pearl,165.00,454.00
33,Mystic Twilight,bracelet,diamond,182.00,324.00
34,Pearl Essence,bracelet,diamond,157.00,695.00
35,Aurora's Glint,bracelet,diamond,170.00,422.00
36,Crystal Mist,earrings,emerald,173.00,431.00
37,Midnight Reverie,pendant,ruby,123.00,613.00
38,Sapphire Tide,pendant,ruby,197.00,737.00
39,Celestial Fire,pendant,ruby,180.00,664.00
40,Radiant Serenade,bracelet,emerald,169.00,590.00
41,Infinite Gleam,bracelet,emerald,103.00,314.00
42,Lunar Whisper,bracelet,emerald,145.00,369.00
43,Mystic Glow,bracelet,emerald,135.00,313.00
44,Crystal Starlight,bracelet,emerald,148.00,748.00
45,Sunset Gleam,bracelet,ruby,200.00,598.00
46,Golden Mirage,bracelet,ruby,124.00,867.00
47,Twilight Glimmer,bracelet,ruby,184.00,513.00
48,Aurora's Spark,bracelet,ruby,190.00,626.00
49,Emerald Dream,bracelet,ruby,115.00,410.00
50,Ocean Glint,bracelet,ruby,198.00,432.00
51,Midnight Symphony,earrings,pearl,120.00,758.00
52,Enchanted Tide,earrings,pearl,156.00,394.00
53,Radiant Glimmer,necklace,gold,178.00,673.00
54,Velvet Whisper,necklace,gold,116.00,613.00
55,Sapphire Echo,ring,emerald,145.00,328.00
56,Celestial Cascade,ring,emerald,116.00,308.00
57,Starlit Radiance,ring,emerald,123.00,801.00
58,Timeless Whisper,ring,emerald,132.00,470.00
59,Sunset Harmony,ring,emerald,163.00,421.00
60,Crystal Glow,ring,silver,111.00,802.00
61,Midnight Ember,necklace,sapphire,104.00,421.00
62,Velvet Horizon,necklace,sapphire,130.00,695.00
63,Aurora's Gleam,necklace,sapphire,109.00,335.00
64,Mystic Serenade,ring,sapphire,184.00,320.00
65,Golden Spark,ring,sapphire,109.00,722.00
66,Infinite Horizon,ring,diamond,136.00,626.00
67,Starlight Reverie,ring,diamond,146.00,505.00
68,Moonlit Ember,ring,diamond,114.00,509.00
69,Timeless Shimmer,ring,diamond,150.00,799.00
70,Solar Echo,ring,diamond,136.00,483.00
71,Twilight Symphony,ring,diamond,141.00,321.00
72,Dusk Mirage,pendant,pearl,137.00,666.00
73,Mystic Horizon,pendant,pearl,145.00,577.00
74,Enchanted Dream,pendant,pearl,114.00,527.00
75,Radiant Mist,pendant,ruby,187.00,526.00
76,Velvet Starlight,earrings,ruby,153.00,357.00
77,Aurora's Drift,earrings,ruby,113.00,748.00
78,Crystal Tide,bracelet,gold,167.00,593.00
79,Midnight Harmony,bracelet,gold,164.00,558.00
80,Eternal Glint,bracelet,gold,195.00,608.00
81,Starlit Ember,bracelet,gold,163.00,312.00
82,Golden Harmony,pendant,gold,138.00,803.00
83,Infinite Spark,ring,ruby,154.00,512.00
84,Mystic Cascade,pendant,diamond,128.00,711.00
85,Celestial Glow,bracelet,silver,145.00,800.00
86,Ocean Symphony,earrings,silver,162.00,683.00
87,Sunset Ember,earrings,silver,152.00,491.00
88,Radiant Drift,earrings,silver,190.00,744.00
89,Velvet Serenade,earrings,silver,160.00,658.00
90,Twilight Horizon,earrings,silver,149.00,751.00
91,Moonstone Mirage,necklace,silver,195.00,495.00
92,Sapphire Ember,necklace,silver,173.00,809.00
93,Crystal Harmony,necklace,silver,171.00,756.00
94,Timeless Spark,necklace,silver,138.00,900.00
95,Midnight Cascade,necklace,silver,180.00,740.00
96,Solar Drift,necklace,silver,153.00,540.00
97,Enchanted Glimmer,necklace,ruby,160.00,864.00
98,Aurora's Whisper,necklace,ruby,163.00,444.00
99,Radiant Echo,necklace,ruby,119.00,384.00
100,Sunset Dream,necklace,ruby,118.00,635.00
